SCHOOL,State,State (full),Latitude,Longitude,School_Address,SCHOOLKEY,SEASON,SCHOOLDIVISION,SCHOOLCONFERENCEABBR,Phils/Brewers List,School_Address
A T Still University of Health Sciences,MO,MISSOURI,40.193648,-92.589183,,"2,309",2019,,MO,,
A.C. Davis High School (WA),WA,WASHINGTON,46.5956848,-120.516392,"A. C. Davis High School, South 7th Avenue, Yakima, Yakima County, Washington, 98903, USA",,2019,HS,WA,X,"A. C. Davis High School, South 7th Avenue, Yakima, Yakima County, Washington, 98903, USA"
A.N. Myer Secondary School (ON),ON,ONTARIO,43.1217,-79.10317,,,2019,HS,ON,X,
A&M Consolidated High School (TX),TX,,,,,0,2019,HS,TX,,
Aaniiih Nakoda College,MT,MONTANA,48.484196,-108.757816,,"2,468",2019,,MT,,
Aaron's Academy of Beauty,MD,MARYLAND,38.611356,-76.901993,,"2,469",2019,,MD,,
Abbey Park High School (ON),ON,ONTARIO,43.4370093,-79.73657114,"Abbey Park High School, 1455, Glen Abbey Gate, Bronte, Oakville, Halton Region, Ontario, L6M 2V7, Canada",,2019,HS,ON,X,"Abbey Park High School, 1455, Glen Abbey Gate, Bronte, Oakville, Halton Region, Ontario, L6M 2V7, Canada"
ABCO Technology,CA,CALIFORNIA,33.978748,-118.395459,,"2,470",2019,,CA,,
Abcott Institute,MI,MICHIGAN,42.446331,-83.210617,,"2,471",2019,,MI,,
Abdill Career College Inc,OR,OREGON,42.328085,-122.863924,,"2,472",2019,,OR,,
Abilene Christian University,TX,TEXAS,32.4699728,-99.70735955,"Abilene Christian University, Lunsford Foundation Trail, Abilene, Taylor County, Texas, TX 79601, USA",1,2019,1,Southland Conference,X,"Abilene Christian University, Lunsford Foundation Trail, Abilene, Taylor County, Texas, TX 79601, USA"
Abingdon High School (VA),VA,VIRGINIA,36.7206671,-81.9542923,"Abingdon High School, Thompson Drive, Abingdon, Washington County, Virginia, 24210, USA",,2019,HS,VA,X,"Abingdon High School, Thompson Drive, Abingdon, Washington County, Virginia, 24210, USA"
Abington Memorial Hospital Dixon School of Nursing,PA,PENNSYLVANIA,40.161091,-75.130073,,"2,473",2019,,PA,,
Abraham Baldwin Agricultural College,GA,GEORGIA,31.481889,-83.528281,,2,2019,JC,Georgia Collegiate Athletic Association,,
Abraham Lincoln High School,NY,,40.5824,-73.9686,,3,2019,HS,NY,,
Abraham Lincoln University,CA,CALIFORNIA,34.06099,-118.301181,,"2,474",2019,,CA,
ACA High School,AL,,,,,4,2019,HS,AL,
Academic Magnet High School (SC),SC,,,,,5,2019,HS,SC,
Academie of Baseball Canada,QC,QUEBEC,45.48,-73.59618,,,2019,,,X
Academy College,MN,MINNESOTA,44.855722,-93.299809,,"2,475",2019,,MN,
Academy Di Capelli-School of Cosmetology,CT,CONNECTICUT,41.489905,-72.806897,,"2,476",2019,,CT,
Academy di Firenze,ID,IDAHO,42.723871,-114.519826,,"2,477",2019,,ID,
Academy for Careers and Technology,SC,SOUTH CAROLINA,34.186433,-79.340157,,"2,478",2019,,SC,
Academy for Five Element Acupuncture,FL,FLORIDA,29.650075,-82.321994,,"2,479",2019,,FL,
Academy for Jewish Religion-California,CA,CALIFORNIA,34.06089,-118.293261,,"2,480",2019,,CA,
Academy for Nursing and Health Occupations,FL,FLORIDA,26.70653,-80.121497,,"2,481",2019,,FL,
Academy for Salon Professionals,CA,CALIFORNIA,34.23396,-118.558215,,"2,482",2019,,CA,
Academy of Art University,CA,CALIFORNIA,37.787748,-122.400686,,6,2019,2,Pacific West Conference,
