SCHOOL,State,State (full),Latitude,Longitude,SCHOOLKEY,SEASON,SCHOOLDIVISION,SCHOOLCONFERENCEABBR,Phils/Brewers List,Dummy
Adirondack Beauty School,NY,NEW YORK,43.317954,-73.630352,"2,514",2019,,NY,,1
Adirondack Community College,NY,NEW YORK,43.353441,-73.655014,"2,515",2019,,NY,,1
Adler Graduate School,MN,MINNESOTA,44.862865,-93.252532,"2,516",2019,,MN,,1
Adler University,IL,ILLINOIS,41.88253,-87.629131,"2,517",2019,,IL,,1
Adrian College,MI,MICHIGAN,41.898449,-84.059947,11,2019,3,Michigan Intercollegiate Athletic Association,,1
Adrian's College of Beauty Turlock,CA,CALIFORNIA,37.492628,-120.863441,"2,518",2019,,CA,,1
Adult and Community Education-Hudson,OH,OHIO,40.012851,-82.980603,"2,519",2019,,OH,,1
Adult and Continuing Education-BCTS,NJ,NEW JERSEY,40.901784,-74.033997,"2,520",2019,,NJ,,1
Advance Beauty College,CA,CALIFORNIA,33.759869,-117.952584,"2,521",2019,,CA,,1
Advance Beauty Techs Academy,CA,CALIFORNIA,33.884074,-117.517655,"2,522",2019,,CA,,1
Advance Science Institute,FL,FLORIDA,25.855598,-80.306989,"2,523",2019,,FL,,1
Advanced Barber College and Hair Design,TX,TEXAS,26.131543,-97.958247,"2,524",2019,,TX,,1
Advanced Beauty College,TX,TEXAS,32.859493,-96.9927,"2,525",2019,,TX,,1
Advanced Career Institute,CA,CALIFORNIA,36.344669,-119.38533,"2,526",2019,,CA,,1
Advanced College,CA,CALIFORNIA,33.915383,-118.15794,"2,527",2019,,CA,,1
Advanced College of Cosmetology,WI,WISCONSIN,43.632848,-88.736198,"2,528",2019,,WI,,1
Advanced Computing Institute,CA,CALIFORNIA,34.060733,-118.30035,"2,529",2019,,CA,,1
Advanced Institute of Hair Design-Glendale,WI,WISCONSIN,43.12092,-87.916376,"2,530",2019,,WI,,1
Advanced Technical Centers,FL,FLORIDA,25.806645,-80.2871,"2,531",2019,,FL,,1
Advanced Technology Institute,VA,VIRGINIA,36.841029,-76.182939,"2,532",2019,,VA,,1
Advanced Training Associates,CA,CALIFORNIA,32.819524,-116.981366,"2,533",2019,,CA,,1
Advanced Training Institute,NV,NEVADA,36.09589,-115.206821,"2,534",2019,,NV,,1
Advanced Welding Institute,VT,VERMONT,44.45588,-73.139437,"2,535",2019,,VT,,1
Adventist University of Health Sciences,FL,FLORIDA,28.576142,-81.367687,"2,536",2019,,FL,,1
Advertising Art Educational Services DBA School of Advertising Art,OH,OHIO,39.680848,-84.134435,"2,537",2019,,OH,,1
Aerosim Flight Academy,FL,FLORIDA,28.77858,-81.251511,"2,538",2019,,FL,,1
Aesthetic Science Institute,NY,NEW YORK,42.761904,-73.794885,"2,539",2019,,NY,,1
Aesthetics Institute of Cosmetology,MD,MARYLAND,39.152519,-77.202959,"2,540",2019,,MD,,1
Agnes Scott College,GA,GEORGIA,33.769268,-84.295459,"2,541",2019,,GA,,1
Agoura High School,CA,CALIFORNIA,34.150896,-118.75188,12,2019,HS,CA,X,1
AI Miami International University of Art and Design,FL,FLORIDA,25.790008,-80.18839,"2,542",2019,,FL,,1
Aiken School of Cosmetology and Barbering,SC,SOUTH CAROLINA,33.5595,-81.717081,"2,543",2019,,SC,,1
Aiken Technical College,SC,SOUTH CAROLINA,33.533633,-81.842423,"2,544",2019,,SC,,1
Ailano School of Cosmetology,MA,MASSACHUSETTS,42.071117,-71.043484,"2,545",2019,,MA,,1
Aims Community College,CO,COLORADO,40.409037,-104.764335,"2,546",2019,,CO,,1
Airline High School (LA),LA,LOUISIANA,32.553631,-93.714981,13,2019,HS,LA,X,1
Akins High School (TX),TX,,,,14,2019,HS,TX,,1
Akron School of Practical Nursing,OH,OHIO,41.09905,-81.571862,"2,547",2019,,OH,,1
Alabama A & M University,AL,ALABAMA,34.783368,-86.568502,15,2019,1,Southwestern Athletic Conference,,1
Alabama College of Osteopathic Medicine,AL,ALABAMA,31.206294,-85.340805,"2,548",2019,,AL,,1
Alabama School of Nail Technology & Cosmetology,AL,ALABAMA,31.50997,-87.893386,"2,549",2019,,AL,,1
Alabama Southern Community College,AL,ALABAMA,31.488925,-87.326352,"2,550",2019,,AL,,1
Alabama State College of Barber Styling,AL,ALABAMA,33.64352,-86.809871,"2,551",2019,,AL,,1
Alabama State University,AL,ALABAMA,32.364317,-86.295677,16,2019,1,Southwestern Athletic Conference,X,1
Alamance Community College,NC,NORTH CAROLINA,36.066683,-79.357657,"2,552",2019,,NC,,1
Alameda High School,CA,,,,17,2019,HS,CA,,1
Alamo City Barber College,TX,TEXAS,29.52717,-98.639532,"2,553",2019,,TX,,1
Alamo Community College District Central Office,TX,TEXAS,29.41601,-98.497741,"2,554",2019,,TX,,1
Alamo Heights High School (TX),TX,,,,18,2019,HS,TX,,1
Alaska Bible College,AK,ALASKA,61.598553,-149.111972,"2,555",2019,,AK,,1
Alaska Career College,AK,ALASKA,61.181443,-149.856954,"2,556",2019,,AK,,1
Alaska Christian College,AK,ALASKA,60.490459,-151.136005,"2,557",2019,,AK,,1
Alaska Pacific University,AK,ALASKA,61.191235,-149.804242,"2,558",2019,,AK,,1
Albany BOCES-Adult Practical Nursing Program,NY,NEW YORK,42.745685,-73.835752,"2,559",2019,,NY,,1
Albany College of Pharmacy and Health Sciences,NY,NEW YORK,42.652559,-73.778132,"2,560",2019,,NY,,1
Albany High School,CA,,,,19,2019,HS,CA,,1
Albany Law School,NY,NEW YORK,42.651264,-73.777692,"2,561",2019,,NY,,1
Albany Medical College,NY,NEW YORK,42.653178,-73.773975,"2,562",2019,,NY,,1
Albany State University,GA,GEORGIA,31.56928,-84.141825,20,2019,2,Southern Intercollegiate Athletic Conference,,1
Albany Technical College,GA,GEORGIA,31.55434,-84.174284,"2,563",2019,,GA,,1
Albert I Prince Technical High School,CT,CONNECTICUT,41.741156,-72.706597,"2,564",2019,,CT,,1
Albert Lea High School,MI,,,,21,2019,HS,MI,,1
