SCHOOL,State,State (full),Latitude,Longitude,SCHOOLKEY,SEASON,SCHOOLDIVISION,SCHOOLCONFERENCEABBR,Phils/Brewers List,Dummy
Fayette Beauty Academy,GA,GEORGIA,33.570305,-84.345837,"4,205",2019,,GA,,1
Fayette Beauty Academy-Ritz Beauty Academy,GA,GEORGIA,33.455874,-84.455909,"4,206",2019,,GA,,1
Fayette County Career & Technical Institute Practical Nursing Program,PA,PENNSYLVANIA,39.860976,-79.741718,"4,207",2019,,PA,,1
Fayette High School,OH,,,,677,2019,HS,OH,,1
Fayette Institute of Technology,WV,WEST VIRGINIA,37.988801,-81.146785,"4,208",2019,,WV,,1
Fayetteville College of Cosmetology Arts and Sciences,TN,TENNESSEE,35.152662,-86.572164,"4,209",2019,,TN,,1
Fayetteville High School,AR,,,,678,2019,HS,AR,,1
Fayetteville State University,NC,NORTH CAROLINA,35.073641,-78.891696,"4,210",2019,,NC,,1
Fayetteville Technical Community College,NC,NORTH CAROLINA,35.068851,-78.92658,"4,211",2019,,NC,,1
Feather River Community College District,CA,CALIFORNIA,39.952395,-120.970877,"4,212",2019,,CA,,1
Federal Way High School,WA,WASHINGTON,47.3274,-122.3141,679,2019,HS,WA,X,1
Federico Beauty Institute,CA,CALIFORNIA,38.64883,-121.497761,"4,213",2019,,CA,,1
Felbry College School of Nursing,OH,OHIO,40.09574,-82.950621,"4,214",2019,,OH,,1
Felician University,NJ,NEW JERSEY,40.867272,-74.096452,680,2019,2,Central Atlantic Collegiate Conference,X,1
Fernando Suria Chavez High School (PR),PR,PUERTO RICO,18.2208,-66.5901,,2019,HS,,X,1
Ferrara's Beauty School,NY,NEW YORK,40.72048,-73.843581,"4,215",2019,,NY,,1
Ferris High School (New Jersey),NJ,,,,681,2019,HS,NJ,,1
Ferris High School (Washington),WA,,,,682,2019,HS,WA,,1
Ferris State University,MI,MICHIGAN,43.687464,-85.483509,"4,216",2019,,MI,,1
Ferrum College,VA,VIRGINIA,36.926648,-80.020864,683,2019,3,USA South Athletic Conference,,1
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,CALIFORNIA,34.044209,-118.25993,"4,217",2019,,CA,,1
FIDM-Fashion Institute of Design & Merchandising-Orange County,CA,CALIFORNIA,33.691963,-117.852254,"4,218",2019,,CA,,1
FIDM-Fashion Institute of Design & Merchandising-San Diego,CA,CALIFORNIA,32.708895,-117.155134,"4,219",2019,,CA,,1
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,CALIFORNIA,37.786324,-122.406503,"4,220",2019,,CA,,1
Fielding Graduate University,CA,CALIFORNIA,34.42941,-119.717161,"4,221",2019,,CA,,1
Fife High School,WA,,,,684,2019,HS,WA,,1
FINE Mortuary College,MA,MASSACHUSETTS,42.180896,-71.19308,"4,222",2019,,MA,,1
Finger Lakes Community College,NY,NEW YORK,42.867556,-77.241801,"4,223",2019,,NY,,1
Finger Lakes School of Massage,MD,MARYLAND,39.441953,-77.394941,"4,224",2019,,MD,,1
Finlandia University,MI,MICHIGAN,47.12709,-88.589392,685,2019,3,American Collegiate Athletic Association,,1
Firelands Regional Medical Center School of Nursing,OH,OHIO,41.43719,-82.71189,"4,225",2019,,OH,,1
First Baptist High School,SC,,,,686,2019,HS,SC,,1
First Class Cosmetology School,WI,WISCONSIN,42.49901,-89.036231,"4,226",2019,,WI,,1
First Coast Barber Academy,FL,FLORIDA,30.33211,-81.660201,"4,227",2019,,FL,,1
First Coast Technical College,FL,FLORIDA,29.924377,-81.345829,"4,228",2019,,FL,,1
First Institute Inc,IL,ILLINOIS,42.21926,-88.339468,"4,229",2019,,IL,,1
First Presbyterian Day School,GA,,,,687,2019,HS,GA,,1
Fisher College,MA,MASSACHUSETTS,42.355253,-71.074125,"4,230",2019,,MA,,1
Fishers High School,IN,,,,688,2019,HS,IN,,1
Fisk University,TN,TENNESSEE,36.16912,-86.805671,"4,231",2019,,TN,,1
Fitchburg State University,MA,MASSACHUSETTS,42.589345,-71.789354,689,2019,3,Massachusetts State Collegiate Athletic Conference,,1
Five Branches University,CA,CALIFORNIA,36.964133,-121.998478,"4,232",2019,,CA,,1
Five Towns College,NY,NEW YORK,40.793327,-73.369968,"4,233",2019,,NY,,1
Flagler College-St Augustine,FL,FLORIDA,29.892733,-81.314887,690,2019,2,Peach Belt Conference,,1
Flagler College-Tallahassee,FL,FLORIDA,30.444664,-84.341098,"4,234",2019,,FL,X,1
Flagler Technical Institute,FL,FLORIDA,29.47629,-81.211337,"4,235",2019,,FL,,1
Flair Beauty College,CA,CALIFORNIA,34.414463,-118.550015,"4,236",2019,,CA,,1
Flathead Valley Community College,MT,MONTANA,48.227389,-114.327258,"4,237",2019,,MT,,1
Fleming Island High School,FL,,,,691,2019,HS,FL,,1
Fletcher Technical Community College,LA,LOUISIANA,29.691,-90.811071,"4,238",2019,,LA,,1
Flint Hills Technical College,KS,KANSAS,38.420955,-96.223623,"4,239",2019,,KS,,1
Flint Institute of Barbering Inc,MI,MICHIGAN,43.027339,-83.73911,"4,240",2019,,MI,,1
Florence-Darlington Technical College,SC,SOUTH CAROLINA,34.243882,-79.81469,692,2019,JC,Unaffiliated,X,1
Florida Academy,FL,FLORIDA,26.608637,-81.824273,"4,241",2019,,FL,,1
Florida Academy of Health & Beauty,FL,FLORIDA,26.16604,-80.181831,"4,242",2019,,FL,,1
Florida Agricultural and Mechanical University,FL,FLORIDA,30.428504,-84.290226,693,2019,1,Mid-Eastern Athletic Conference,,1
Florida Atlantic University,FL,FLORIDA,26.372421,-80.102978,694,2019,1,Conference USA,X,1
Florida Barber Academy,FL,FLORIDA,26.122056,-80.203691,"4,243",2019,,FL,,1
Florida Career College,FL,FLORIDA,26.010968,-80.246116,"4,244",2019,,FL,,1
Florida Career College-Boynton Beach,FL,FLORIDA,26.54289,-80.092161,"4,245",2019,,FL,,1
Florida Career College-Hialeah,FL,FLORIDA,25.855552,-80.319292,"4,246",2019,,FL,,1
Florida Career College-Houston Campus,TX,TEXAS,30.022309,-95.431325,"4,247",2019,,TX,,1
Florida Career College-Jacksonville,FL,FLORIDA,30.19576,-81.751361,"4,248",2019,,FL,,1
Florida Career College-Kendall,FL,FLORIDA,25.691021,-80.383298,"4,249",2019,,FL,,1
Florida Career College-Lauderdale Lakes,FL,FLORIDA,26.16574,-80.205267,"4,250",2019,,FL,,1
Florida Career College-Margate,FL,FLORIDA,26.270878,-80.203455,"4,251",2019,,FL,,1
Florida Career College-Miami,FL,FLORIDA,25.756567,-80.36778,"4,252",2019,,FL,,1
Florida Career College-Orlando,FL,FLORIDA,28.56052,-81.309471,"4,253",2019,,FL,,1
Florida Career College-Tampa,FL,FLORIDA,27.980705,-82.337004,"4,254",2019,,FL,,1
Florida Career College-UEI College-Phoenix,AZ,ARIZONA,33.57026,-112.116121,"4,255",2019,,AZ,,1
Florida Career College-West Palm Beach,FL,FLORIDA,26.705217,-80.136749,"4,256",2019,,FL,,1
Florida Christian High School,FL,,,,695,2019,HS,FL,,1
Florida Coastal School of Law,FL,FLORIDA,30.232676,-81.580093,"4,257",2019,,FL,,1
Florida College,FL,FLORIDA,28.034911,-82.383446,"4,258",2019,,FL,,1
Florida College of Integrative Medicine,FL,FLORIDA,28.46359,-81.401757,"4,259",2019,,FL,,1
Florida College of Natural Health-Maitland,FL,FLORIDA,28.629921,-81.397179,"4,260",2019,,FL,,1
Florida College of Natural Health-Miami,FL,FLORIDA,25.783553,-80.325685,"4,261",2019,,FL,,1
Florida College of Natural Health-Pompano Beach,FL,FLORIDA,26.275548,-80.151132,"4,262",2019,,FL,,1
Florida Education Institute,FL,FLORIDA,25.76325,-80.290496,"4,263",2019,,FL,,1
Florida Gateway College,FL,FLORIDA,30.175298,-82.5679,"4,264",2019,,FL,,1
Florida Gulf Coast University,FL,FLORIDA,26.464262,-81.773578,696,2019,1,Atlantic Sun Conference,X,1
Florida Institute of Recording Sound and Technology,FL,FLORIDA,28.57897,-81.411511,"4,265",2019,,FL,,1
Florida Institute of Technology,FL,FLORIDA,28.064503,-80.624628,697,2019,2,Sunshine State Conference,,1
Florida Institute of Technology-Online,FL,FLORIDA,28.065754,-80.624378,"4,266",2019,,FL,,1
Florida Institute of Ultrasound Inc,FL,FLORIDA,30.524582,-87.220895,"4,267",2019,,FL,,1
Florida International Training Institute,FL,FLORIDA,25.79638,-80.346871,"4,268",2019,,FL,,1
Florida International University,FL,FLORIDA,25.757111,-80.377591,698,2019,1,Conference USA,X,1
Florida Keys Community College,FL,FLORIDA,24.582748,-81.74446,"4,269",2019,,FL,,1
Florida Memorial University,FL,FLORIDA,25.917854,-80.270672,699,2019,NAIA,Sun Conference,,1
Florida National University-Main Campus,FL,FLORIDA,25.86178,-80.321846,700,2019,1,United States Collegiate Athletic Association,,1
Florida Panhandle Technical College,FL,FLORIDA,30.77449,-85.553345,"4,270",2019,,FL,,1
Florida School of Massage,FL,FLORIDA,29.593484,-82.338528,"4,271",2019,,FL,,1
Florida School of Traditional Midwifery,FL,FLORIDA,29.652269,-82.31585,"4,272",2019,,FL,,1
Florida Southern College,FL,FLORIDA,28.031507,-81.945791,701,2019,2,Sunshine State Conference,X,1
Florida Southwestern State College,FL,FLORIDA,26.554737,-81.887375,702,2019,JC,Suncoast Conference,X,1
Florida State College at Jacksonville,FL,FLORIDA,30.334918,-81.659901,703,2019,JC,Mid-Florida Conference,,1
Florida State University,FL,FLORIDA,30.440756,-84.291921,704,2019,1,Atlantic Coast Conference,X,1
Florida Technical College,FL,FLORIDA,28.57316,-81.196091,"4,273",2019,,FL,X,1
Florida Vocational Institute,FL,FLORIDA,25.773542,-80.321789,"4,274",2019,,FL,,1
Flower Mound Marcus High School (TX),TX,,33.0636,-97.0629,705,2019,HS,TX,X,1
Flowery Branch High School,FL,,,,706,2019,HS,FL,,1
Flowing Wells High School (AZ),AZ,,,,707,2019,HS,AZ,,1
Focus Personal Training Institute,NY,NEW YORK,40.74588,-73.991781,"4,275",2019,,NY,,1
Focus-Hope Information Technologies Center,MI,MICHIGAN,42.399727,-83.123793,"4,276",2019,,MI,,1
Foley High School,AL,,,,708,2019,HS,AL,,1
Folsom Lake College,CA,CALIFORNIA,38.662599,-121.126697,"4,277",2019,,CA,X,1
Fond du Lac Tribal and Community College,MN,MINNESOTA,46.688825,-92.444128,"4,278",2019,,MN,,1
Fontbonne University,MO,MISSOURI,38.642697,-90.315712,709,2019,3,St. Louis Intercollegiate Athletic Conference,,1
Foothill College,CA,CALIFORNIA,37.361655,-122.127964,"4,279",2019,,CA,,1
Foothill High School,CA,,,,710,2019,HS,CA,,1
Foothill-De Anza Community College District,CA,CALIFORNIA,37.360961,-122.127054,"4,280",2019,,CA,,1
Foothills Composite High School (AB),AB,#N/A,50.7147,-113.9725,,2019,HS,,X,1
Forbes Road Career and Technology Center,PA,PENNSYLVANIA,40.450234,-79.748472,"4,281",2019,,PA,,1
Fordham University,NY,NEW YORK,40.859354,-73.882705,711,2019,1,Atlantic 10 Conference,X,1
Forest High School,FL,,,,712,2019,HS,FL,,1
Forest Hill High School (FL),FL,FLORIDA,26.6545,-80.0645,713,2019,HS,FL,X,1
Forest Hills Senior High School (PA),PA,PENNSYLVANIA,40.7297,-73.8449,,2019,HS,,X,1
Forrest College,SC,SOUTH CAROLINA,34.498989,-82.640728,"4,282",2019,,SC,,1
Forsyth Central High School,FL,FLORIDA,34.2158,-84.1416,714,2019,HS,FL,X,1
Forsyth Technical Community College,NC,NORTH CAROLINA,36.06854,-80.272215,"4,283",2019,,NC,,1
Fort Collins High School (CO),CO,,,,715,2019,HS,CO,,1
Fort Defiance High School,VA,,,,716,2019,HS,VA,,1
Fort Dorchester High School,SC,,,,717,2019,HS,SC,,1
Fort Hays State University,KS,KANSAS,38.872436,-99.340493,718,2019,2,Mid-America Intercollegiate Athletics Association,,1
Fort Lewis College,CO,COLORADO,37.275428,-107.867003,"4,284",2019,,CO,,1
Fort Myers Technical College,FL,FLORIDA,26.647517,-81.836596,"4,285",2019,,FL,,1
Fort Peck Community College,MT,MONTANA,48.113569,-105.193021,"4,286",2019,,MT,,1
Fort Pierce Beauty Academy,FL,FLORIDA,27.412426,-80.324698,"4,287",2019,,FL,,1
Fort Scott Community College,KS,KANSAS,37.816192,-94.715966,"4,288",2019,,KS,X,1
Fort Valley State University,GA,GEORGIA,32.538163,-83.895548,"4,289",2019,,GA,,1
Fort White High School,FL,,,,719,2019,HS,FL,,1
Fort Worth Beauty School,TX,TEXAS,32.705558,-97.449644,"4,290",2019,,TX,,1
Fortis College,AL,ALABAMA,30.68413,-88.205581,"4,291",2019,,AL,,1
Fortis College-Baton Rouge,LA,LOUISIANA,30.422493,-91.082259,"4,292",2019,,LA,,1
Fortis College-Centerville,OH,OHIO,39.644364,-84.146046,"4,293",2019,,OH,,1
Fortis College-Cincinnati,OH,OHIO,39.283312,-84.444969,"4,294",2019,,OH,,1
Fortis College-Columbia,SC,SOUTH CAROLINA,34.01529,-81.082001,"4,295",2019,,SC,,1
Fortis College-Columbus,OH,OHIO,40.083063,-82.900188,"4,296",2019,,OH,,1
Fortis College-Cuyahoga Falls,OH,OHIO,41.143856,-81.470433,"4,297",2019,,OH,,1
Fortis College-Dothan,AL,ALABAMA,31.242886,-85.374424,"4,298",2019,,AL,,1
Fortis College-Foley,AL,ALABAMA,30.40606,-87.681411,"4,299",2019,,AL,,1
Fortis College-Grand Prairie,TX,TEXAS,32.76094,-97.005121,"4,300",2019,,TX,,1
Fortis College-Houston,TX,TEXAS,29.7339,-95.648311,"4,301",2019,,TX,,1
Fortis College-Indianapolis,IN,INDIANA,39.9184,-86.223181,"4,302",2019,,IN,,1
Fortis College-Landover,MD,MARYLAND,38.949933,-76.866393,"4,303",2019,,MD,,1
Fortis College-Montgomery,AL,ALABAMA,32.383686,-86.251882,"4,304",2019,,AL,,1
Fortis College-Norfolk,VA,VIRGINIA,36.84706,-76.18583,"4,305",2019,,VA,,1
Fortis College-Orange Park,FL,FLORIDA,30.149,-81.758131,"4,306",2019,,FL,,1
Fortis College-Phoenix,AZ,ARIZONA,33.454176,-112.042951,"4,307",2019,,AZ,,1
Fortis College-Ravenna,OH,OHIO,41.180935,-81.250139,"4,308",2019,,OH,,1
Fortis College-Richmond,VA,VIRGINIA,37.581537,-77.488455,"4,309",2019,,VA,,1
Fortis College-Salt Lake City,UT,UTAH,40.685819,-111.870502,"4,310",2019,,UT,,1
Fortis College-Smyrna,GA,GEORGIA,33.901335,-84.488628,"4,311",2019,,GA,,1
Fortis Institute-Baltimore,MD,MARYLAND,39.309556,-76.749455,"4,312",2019,,MD,,1
Fortis Institute-Birmingham,AL,ALABAMA,33.442835,-86.862473,"4,313",2019,,AL,,1
Fortis Institute-Cookeville,TN,TENNESSEE,36.143182,-85.478651,"4,314",2019,,TN,,1
Fortis Institute-Erie,PA,PENNSYLVANIA,42.0604,-80.204328,"4,315",2019,,PA,,1
Fortis Institute-Forty Fort,PA,PENNSYLVANIA,41.281911,-75.882975,"4,316",2019,,PA,,1
Fortis Institute-Houston,TX,TEXAS,29.93744,-95.395051,"4,317",2019,,TX,,1
Fortis Institute-Lawrenceville,NJ,NEW JERSEY,40.260811,-74.719102,"4,318",2019,,NJ,,1
Fortis Institute-Nashville,TN,TENNESSEE,36.084542,-86.696299,"4,319",2019,,TN,,1
Fortis Institute-Pensacola,FL,FLORIDA,30.510415,-87.183112,"4,320",2019,,FL,,1
Fortis Institute-Port Saint Lucie,FL,FLORIDA,27.3016,-80.303751,"4,321",2019,,FL,,1
Fortis Institute-Scranton,PA,PENNSYLVANIA,41.417104,-75.651683,"4,322",2019,,PA,,1
Fortis Institute-Towson,MD,MARYLAND,39.403271,-76.604593,"4,323",2019,,MD,,1
Fortis Institute-Wayne,NJ,NEW JERSEY,40.885499,-74.255794,"4,324",2019,,NJ,,1
Fosbre Academy of Hair Design,WA,WASHINGTON,47.045259,-122.902077,"4,325",2019,,WA,,1
Foster High School (TX),TX,,29.6272,-95.8101,720,2019,HS,TX,X,1
Fosters Cosmetology College,MS,MISSISSIPPI,34.755677,-88.942133,"4,326",2019,,MS,,1
Fountain of Youth Academy of Cosmetology,PA,PENNSYLVANIA,40.695116,-80.033069,"4,327",2019,,PA,,1
Fountainhead College of Technology,TN,TENNESSEE,36.03024,-83.920631,"4,328",2019,,TN,,1
Four County Career Center,OH,OHIO,41.4528,-84.30307,"4,329",2019,,OH,,1
Four Rivers Career Center,MO,MISSOURI,38.547707,-91.020914,"4,330",2019,,MO,,1
Fox College,IL,ILLINOIS,41.771488,-87.744728,"4,331",2019,,IL,,1
Fox Valley Technical College,WI,WISCONSIN,44.283174,-88.45893,"4,332",2019,,WI,,1
Framingham High School,MA,,,,721,2019,HS,MA,,1
Framingham State University,MA,MASSACHUSETTS,42.297289,-71.437175,722,2019,3,Massachusetts State Collegiate Athletic Conference,,1
Francis Howell High School (MO),MO,,,,723,2019,HS,MO,,1
Francis Marion University,SC,SOUTH CAROLINA,34.192277,-79.655515,724,2019,2,Peach Belt Conference,X,1
Francis Tuttle Technology Center,OK,OKLAHOMA,35.60052,-97.640672,"4,333",2019,,OK,,1
Franciscan School of Theology,CA,CALIFORNIA,33.232416,-117.320066,"4,334",2019,,CA,,1
Franciscan University of Steubenville,OH,OHIO,40.376086,-80.623094,"4,335",2019,,OH,,1
Frank Lloyd Wright School of Architecture,AZ,ARIZONA,33.60205,-111.843211,"4,336",2019,,AZ,,1
Frank Phillips College,TX,TEXAS,35.655151,-101.405653,"4,337",2019,,TX,,1
Franklin Academy,TN,TENNESSEE,35.191529,-84.881427,"4,338",2019,,TN,,1
Franklin and Marshall College,PA,PENNSYLVANIA,40.048045,-76.319037,725,2019,3,Centennial Conference,X,1
Franklin Career Institute,NY,NEW YORK,40.70867,-73.627681,"4,339",2019,,NY,,1
Franklin College,IN,INDIANA,39.478298,-86.047182,726,2019,3,Heartland Collegiate Athletic Conference,X,1
Franklin County Career and Technology Center,PA,PENNSYLVANIA,39.897693,-77.680541,"4,340",2019,,PA,,1
Franklin County High School (GA),GA,GEORGIA,34.363,-83.2119,,2019,HS,,X,1
Franklin Hair Academy School of Cosmetology,TN,TENNESSEE,35.93228,-86.878121,"4,341",2019,,TN,,1
Franklin Heights High School,OH,,,,727,2019,HS,OH,,1
Franklin Pierce University,NH,NEW HAMPSHIRE,42.78014,-72.058011,728,2019,2,Northeast-10 Conference,X,1
Franklin Road Academy High School,TN,,,,729,2019,HS,TN,,1
Franklin Technology-MSSU,MO,MISSOURI,37.097008,-94.459584,"4,342",2019,,MO,,1
Franklin University,OH,OHIO,39.958402,-82.991825,"4,343",2019,,OH,,1
Franklin W Olin College of Engineering,MA,MASSACHUSETTS,42.292842,-71.264047,"4,344",2019,,MA,,1
Franklin-Simpson High School,KY,,,,730,2019,HS,KY,,1
Fred D. Learey Technical College,FL,FLORIDA,28.01332,-82.518201,"4,345",2019,,FL,,1
Fred W Eberle Technical Center,WV,WEST VIRGINIA,39.001908,-80.225278,"4,346",2019,,WV,,1
Frederick Community College,MD,MARYLAND,39.452241,-77.417849,"4,347",2019,,MD,,1
Frederick School of Cosmetology,MD,MARYLAND,39.408356,-77.430698,"4,348",2019,,MD,,1
Fredericksburg High School (TX),TX,,30.2603,-98.8818,,2019,HS,,X,1
Fredrick and Charles Beauty College,CA,CALIFORNIA,40.798811,-124.165778,"4,349",2019,,CA,,1
Fredricksburg High School (TX),TX,,,,731,2019,HS,TX,,1
Freed-Hardeman University,TN,TENNESSEE,35.440073,-88.639418,732,2019,NAIA,American Midwest Conference,,1
Freedom High School,CA,CALIFORNIA,37.9697,-121.72,733,2019,HS,CA,X,1
Freehold Township High School (NJ),NJ,NEW JERSEY,40.2202,-74.2826,,2019,HS,,X,1
Freeman High School,,,,,734,2019,HS,,,1
Fremont Christian High School,CA,,,,735,2019,HS,CA,,1
Fremont College,CA,CALIFORNIA,33.867773,-118.098316,"4,350",2019,,CA,,1
French Academy of Cosmetology,MI,MICHIGAN,43.075898,-86.198004,"4,351",2019,,MI,,1
Frenship High School (TX),TX,,,,736,2019,HS,TX,,1
Fresno City College,CA,CALIFORNIA,36.767516,-119.795129,"4,352",2019,,CA,X,1
Fresno Pacific University,CA,CALIFORNIA,36.725279,-119.731953,"4,353",2019,,CA,,1
Friends University,KS,KANSAS,37.678495,-97.366666,737,2019,NAIA,Kansas Collegiate Athletic Conference,,1
Friendship Christian High School (TN),TN,,,,738,2019,HS,TN,,1
Friendswood High School (TX),TX,,29.5125,-95.2092,739,2019,HS,TX,X,1
Frisco High School (TX),TX,,33.1316,-96.8221,740,2019,HS,TX,X,1
Front Range Community College,CO,COLORADO,39.901757,-105.039359,"4,354",2019,,CO,,1
Frontenac High School (KS),KS,,,,741,2019,HS,KS,,1
Frontier Community College,IL,ILLINOIS,38.380271,-88.392194,"4,355",2019,,IL,,1
Frontier Nursing University,KY,KENTUCKY,37.16363,-83.376447,"4,356",2019,,KY,,1
Frostburg State University,MD,MARYLAND,39.651509,-78.933871,"4,357",2019,,MD,,1
Fruita Monument High School (CO),CO,COLORADO,39.1481,-108.7172,,2019,HS,,X,1
Ft. Scott High School (KS),KS,,,,742,2019,HS,KS,,1
Ft. Zumwalt South High School (MO),MO,,,,743,2019,HS,MO,,1
Full Sail University,FL,FLORIDA,28.596546,-81.301286,"4,358",2019,,FL,,1
Fuller Theological Seminary in California,CA,CALIFORNIA,34.14778,-118.140261,"4,359",2019,,CA,,1
Fullerton College,CA,CALIFORNIA,33.876794,-117.916986,744,2019,JC,California Community College Athletic Association,,1
Fulshear High School (TX),TX,,29.6975,-95.8867,,2019,HS,,X,1
Fulton High School,MI,,,,745,2019,HS,MI,,1
Fulton-Montgomery Community College,NY,NEW YORK,42.983048,-74.294146,"4,360",2019,,NY,,1
Furman University,SC,SOUTH CAROLINA,34.924676,-82.440458,746,2019,1,Southern Conference,X,1
Futura Career Institute,FL,FLORIDA,25.863128,-80.306991,"4,361",2019,,FL,,1
Future Generations Graduate School,WV,WEST VIRGINIA,38.70907,-79.405423,"4,362",2019,,WV,,1
Future-Tech Institute,FL,FLORIDA,25.7646,-80.251401,"4,363",2019,,FL,,1
G Skin & Beauty Institute,IL,ILLINOIS,41.851403,-87.949684,"4,364",2019,,IL,,1
Gadsden State Community College,AL,ALABAMA,33.991866,-85.991299,"4,365",2019,,AL,,1
Gahanna Lincoln High School,OH,,,,747,2019,HS,OH,,1
Gahr High School (CA),CA,CALIFORNIA,33.8733,-118.0951,,2019,HS,,X,1
Gainesville High School,FL,,,,748,2019,HS,FL,,1
Gaither High School,FL,FLORIDA,28.1008,-82.5035,749,2019,HS,FL,X,1
Galaxy Medical College,CA,CALIFORNIA,34.186976,-118.396209,"4,366",2019,,CA,,1
Galen College of Nursing-Cincinnati,OH,OHIO,39.283693,-84.365946,"4,367",2019,,OH,,1
Galen College of Nursing-Louisville,KY,KENTUCKY,38.27732,-85.697564,"4,368",2019,,KY,,1
Galen College of Nursing-San Antonio,TX,TEXAS,29.50769,-98.58566,"4,369",2019,,TX,,1
Galen College of Nursing-Tampa Bay,FL,FLORIDA,27.874643,-82.650896,"4,370",2019,,FL,,1
Galena High School,NV,,,,750,2019,HS,NV,,1
Gallaudet University,DC,DISTRICT OF COLUMBIA,38.907371,-76.993675,751,2019,3,North Eastern Athletic Conference,,1
Gallipolis Career College,OH,OHIO,38.843023,-82.256842,"4,371",2019,,OH,,1
Galveston College,TX,TEXAS,29.284212,-94.80854,752,2019,JC,Southwest Junior College Conference,X,1
Gannon University,PA,PENNSYLVANIA,42.128403,-80.087166,"4,372",2019,,PA,X,1
Garden City Community College,KS,KANSAS,37.970979,-100.847357,"4,373",2019,,KS,X,1
Garden State Science and Technology Institute,NJ,NEW JERSEY,40.73488,-74.059431,"4,374",2019,,NJ,,1
Gardendale High School,AL,,33.6475,-86.8119,753,2019,HS,AL,,1
Gardner-Webb University,NC,NORTH CAROLINA,35.24732,-81.668141,754,2019,1,Big South Conference,X,1
Garfield High School,WA,WASHINGTON,47.6053,-122.3019,755,2019,HS,WA,X,1
Garner Magnet High School (NC),NC,NORTH CAROLINA,35.7108,-78.6354,,2019,HS,,X,1
Garnet Career Center,WV,WEST VIRGINIA,38.351017,-81.629876,"4,375",2019,,WV,,1
Garrett College,MD,MARYLAND,39.560658,-79.343267,"4,376",2019,,MD,,1
Garrett-Evangelical Theological Seminary,IL,ILLINOIS,42.053318,-87.676721,"4,377",2019,,IL,,1
Gary Manuel Aveda Institute,WA,WASHINGTON,47.61434,-122.319201,"4,378",2019,,WA,,1
Gaston College,NC,NORTH CAROLINA,35.312048,-81.18852,"4,379",2019,,NC,,1
Gateway Community and Technical College,KY,KENTUCKY,38.96132,-84.632911,"4,380",2019,,KY,,1
Gateway Community College,CT,CONNECTICUT,41.303785,-72.927682,"4,381",2019,,CT,X,1
GateWay Community College-Arizona,AZ,ARIZONA,33.449686,-111.997077,756,2019,JC,Arizona Community College Athletic Conference,,1
Gateway Technical College,WI,WISCONSIN,42.605677,-87.846695,"4,382",2019,,WI,,1
Gavilan College,CA,CALIFORNIA,36.973274,-121.568174,"4,383",2019,,CA,,1
GDS Institute,CA,CALIFORNIA,33.966151,-118.224776,"4,384",2019,,CA,,1
Geisinger-Lewistown Hospital School of Nursing,PA,PENNSYLVANIA,40.619424,-77.567654,"4,385",2019,,PA,,1
Gem City College,IL,ILLINOIS,39.926572,-91.404548,"4,386",2019,,IL,,1
Gemini School of Visual Arts & Communication,TX,TEXAS,30.50916,-97.846021,"4,387",2019,,TX,,1
Gemological Institute of America-Carlsbad,CA,CALIFORNIA,33.131313,-117.318765,"4,388",2019,,CA,,1
Gemological Institute of America-New York,NY,NEW YORK,40.757267,-73.980813,"4,389",2019,,NY,,1
Gene Juarez Academy of Beauty-Federal Way,WA,WASHINGTON,47.320326,-122.305105,"4,390",2019,,WA,,1
Gene Juarez Academy of Beauty-Mountlake Terrace,WA,WASHINGTON,47.779174,-122.312814,"4,391",2019,,WA,,1
Genesee Community College,NY,NEW YORK,43.016831,-78.138024,"4,392",2019,,NY,,1
Genesee Valley BOCES-Practical Nursing Program,NY,NEW YORK,43.014665,-78.182909,"4,393",2019,,NY,,1
Genesis Career College-Cookeville,TN,TENNESSEE,36.176484,-85.485574,"4,394",2019,,TN,,1
Genesis Career College-Lebanon,TN,TENNESSEE,36.216054,-86.337771,"4,395",2019,,TN,,1
Geneva College,PA,PENNSYLVANIA,40.772518,-80.321826,"4,396",2019,,PA,,1
Gentle Healing School of Massage,NJ,NEW JERSEY,40.319144,-74.507261,"4,397",2019,,NJ,,1
Gentry High School (MS),MS,MISSISSIPPI,33.4427,-90.6419,,2019,HS,,X,1
George C Wallace Community College-Dothan,AL,ALABAMA,31.316086,-85.46355,"2,316",2019,JC,Alabama Community College Conference,X,1
George C Wallace State Community College-Hanceville,AL,ALABAMA,34.072439,-86.781935,"2,317",2019,JC,Alabama Community College Conference,X,1
George C Wallace State Community College-Selma,AL,ALABAMA,32.445917,-87.013294,"4,398",2019,,AL,,1
George County High School,MS,MISSISSIPPI,30.8769,-88.5944,757,2019,HS,MS,X,1
George Fox University,OR,OREGON,45.30399,-122.968394,758,2019,3,Northwest Conference,X,1
George Jenkins High School (FL),FL,FLORIDA,27.9576,-81.9208,,2019,HS,,X,1
George Mason University,VA,VIRGINIA,38.83088,-77.30794,759,2019,1,Atlantic 10 Conference,X,1
George Stone Technical Center,FL,FLORIDA,30.488083,-87.295105,"4,399",2019,,FL,,1
George T Baker Aviation Technical College,FL,FLORIDA,25.804092,-80.263591,"4,400",2019,,FL,,1
George W Long School (AL),AL,Alabama,31.5589,-85.551,,2019,HS,,X,1
George W. Jenkins High School,FL,,,,760,2019,HS,FL,,1
